house_id,neighborhood,price,square_feet,num_bedrooms,num_bathrooms,house_age,garage_spaces,lot_size_acres,has_pool,recently_renovated,energy_rating,location_score,school_rating,crime_rate,distance_downtown_miles,sale_date,days_on_market,buyer_id,buyer_budget,buyer_age_group,buyer_family_size,buyer_income_level,has_children,employment_type,buyer_preference,first_time_buyer
H03744,Downtown,559700,2762,3,3,29,2,0.29,false,false,D,9,7,6,0,1/3/22,33,B03744,592284,65+,1,medium,false,Retired,Low Maintenance,false
H00702,Downtown,539992,2401,5,5,2,1,0.18,false,false,F,9,7,6,0,1/4/22,38,B00702,599760,25-34,2,medium,false,Full-time employed,Low Maintenance,true
H05640,Downtown,735488,3446,6,5,8,3,0.11,false,false,F,9,7,6,0,1/7/22,42,B05640,840074,45-54,4,high,true,Self-employed,Space & Bedrooms,false
H02686,Downtown,449081,2013,4,4,16,1,0.16,true,false,E,9,7,6,0,1/7/22,37,B02686,475212,45-54,2,medium,false,Self-employed,Space & Bedrooms,false
H07776,Downtown,718924,3210,6,5,21,2,0.12,true,false,D,9,7,6,0,1/8/22,28,B07776,786637,45-54,5,high,true,Self-employed,Location & Schools,true
H04771,Downtown,345643,1502,3,3,21,2,0.15,false,false,E,9,7,6,0,1/8/22,43,B04771,367128,45-54,2,medium,false,Full-time employed,Space & Bedrooms,false
H04113,Downtown,623907,2643,4,5,7,2,0.13,false,false,F,9,7,6,0,1/10/22,11,B04113,714671,55-64,1,high,false,Retired,Location & Schools,false
H00926,Downtown,654226,2588,4,4,5,1,0.18,true,false,F,9,7,6,0,1/14/22,6,B00926,705655,55-64,1,high,false,Full-time employed,Location & Schools,false
H05991,Downtown,811508,3788,6,5,3,3,0.16,false,false,F,9,7,6,0,1/23/22,7,B05991,900221,45-54,5,high,true,Full-time employed,Space & Bedrooms,false
H05984,Downtown,710089,3258,5,5,27,2,0.08,true,true,F,9,7,6,0,1/23/22,52,B05984,750322,65+,1,high,false,Retired,Modern & Updated,false
H02771,Downtown,211653,1010,2,2,17,0,0.11,false,false,D,9,7,6,0,1/27/22,112,B02771,228950,35-44,2,low,false,Self-employed,Affordability,false
H03963,Downtown,834168,3418,5,5,54,3,0.19,true,false,A,9,7,6,0,1/27/22,6,B03963,912411,35-44,3,high,false,Full-time employed,Low Maintenance,false
