house_id,neighborhood,price,square_feet,num_bedrooms,num_bathrooms,house_age,garage_spaces,lot_size_acres,has_pool,recently_renovated,energy_rating,location_score,school_rating,crime_rate,distance_downtown_miles,sale_date,days_on_market,buyer_id,buyer_budget,buyer_age_group,buyer_family_size,buyer_income_level,has_children,employment_type,buyer_preference,first_time_buyer
H04937,Green Valley,501879,2494,6,5,13,2,0.35,false,false,E,8,9,2,12,1/4/22,45,B04937,573198,35-44,2,medium,false,Full-time employed,Location & Schools,true
H06432,Green Valley,842746,4196,6,5,2,2,0.28,false,false,F,8,9,2,12,1/5/22,6,B06432,987452,25-34,2,high,false,Full-time employed,Modern & Updated,false
H06071,Green Valley,575798,2834,6,5,0,1,0.34,true,false,F,8,9,2,12,1/11/22,63,B06071,678428,55-64,4,high,false,Full-time employed,Space & Bedrooms,false
H06327,Green Valley,506922,2545,5,5,1,2,0.39,false,false,F,8,9,2,12,1/16/22,51,B06327,587169,65+,1,medium,false,Retired,Location & Schools,false
H03650,Green Valley,536514,2552,5,5,9,2,0.54,true,false,D,8,9,2,12,1/17/22,15,B03650,611602,35-44,3,medium,true,Full-time employed,Space & Bedrooms,true
H05135,Green Valley,499367,2176,5,5,1,2,0.26,false,false,E,8,9,2,12,1/18/22,12,B05135,573971,25-34,3,medium,true,Full-time employed,Location & Schools,false
H06841,Green Valley,485028,2243,3,3,17,1,0.28,true,false,D,8,9,2,12,1/18/22,180,B06841,560271,45-54,2,medium,false,Dual income,Space & Bedrooms,false
H00532,Green Valley,515173,2445,4,4,29,2,0.2,true,false,D,8,9,2,12,1/21/22,103,B00532,562012,35-44,2,medium,false,Full-time employed,Location & Schools,false
H02790,Green Valley,415103,2031,4,4,6,2,0.26,false,false,F,8,9,2,12,1/21/22,25,B02790,459903,55-64,1,medium,false,Full-time employed,Modern & Updated,false
H01955,Green Valley,708925,3363,5,5,7,3,0.38,true,false,F,8,9,2,12,1/23/22,56,B01955,755377,35-44,5,high,false,Full-time employed,Affordability,false
H05279,Green Valley,478602,2228,3,4,32,1,0.32,true,false,B,8,9,2,12,1/25/22,12,B05279,518564,45-54,2,medium,false,Self-employed,Investment,false
H02926,Green Valley,324909,1778,3,3,1,0,0.29,false,false,F,8,9,2,12,1/26/22,36,B02926,372748,55-64,1,medium,false,Full-time employed,Space & Bedrooms,false
H00476,Green Valley,477851,2640,4,4,22,1,0.63,false,false,E,8,9,2,12,1/26/22,3,B00476,563274,25-34,1,medium,false,Full-time employed,Modern & Updated,true
H05111,Green Valley,506682,2711,4,4,6,1,0.23,false,false,F,8,9,2,12,1/28/22,23,B05111,574570,45-54,3,medium,false,Self-employed,Affordability,false
H06859,Green Valley,506677,2272,3,3,34,2,0.67,true,true,C,8,9,2,12,2/1/22,104,B06859,585693,25-34,1,medium,false,Full-time employed,Location & Schools,true
H02206,Green Valley,315274,1586,3,3,13,1,0.29,false,false,D,8,9,2,12,2/3/22,38,B02206,368097,25-34,2,medium,false,Full-time employed,Space & Bedrooms,false
H01687,Green Valley,380281,2641,5,5,20,1,0.27,false,false,E,8,9,2,12,2/3/22,59,B01687,430548,25-34,3,medium,true,Dual income,Location & Schools,false
H02244,Green Valley,730270,4093,6,5,20,2,0.29,false,false,C,8,9,2,12,2/4/22,12,B02244,784190,45-54,2,high,false,Full-time employed,Low Maintenance,true
H06845,Green Valley,557671,2663,4,4,6,2,0.18,false,false,D,8,9,2,12,2/5/22,83,B06845,653894,45-54,2,high,false,Full-time employed,Location & Schools,false
H00183,Green Valley,591390,2984,5,5,0,2,0.44,true,false,F,8,9,2,12,2/5/22,15,B00183,663937,35-44,3,high,false,Full-time employed,Space & Bedrooms,false
H03027,Green Valley,570305,2550,6,5,1,2,0.34,true,false,E,8,9,2,12,2/6/22,4,B03027,622434,25-34,3,medium,true,Full-time employed,Space & Bedrooms,false
H01663,Green Valley,329251,1839,3,3,24,1,0.35,false,false,D,8,9,2,12,2/11/22,2,B01663,371712,45-54,3,medium,true,Self-employed,Space & Bedrooms,false
H01425,Green Valley,217374,1181,3,2,32,0,0.34,false,false,C,8,9,2,12,2/13/22,11,B01425,234775,55-64,2,low,false,Retired,Affordability,false
H01956,Green Valley,477339,2554,3,4,16,2,0.26,false,false,D,8,9,2,12,2/17/22,5,B01956,555547,45-54,3,medium,false,Full-time employed,Space & Bedrooms,false
H07296,Green Valley,613096,3011,5,4,3,2,0.35,false,false,F,8,9,2,12,2/17/22,15,B07296,707868,55-64,4,high,true,Dual income,Location & Schools,false
H05241,Green Valley,570869,2596,5,4,1,1,0.19,true,false,E,8,9,2,12,2/17/22,7,B05241,653696,35-44,2,high,false,Full-time employed,Modern & Updated,false
H04762,Green Valley,617259,3259,5,5,60,3,0.19,false,false,A,8,9,2,12,2/19/22,14,B04762,704544,55-64,4,high,true,Full-time employed,Space & Bedrooms,false
H04559,Green Valley,491061,2210,4,4,1,1,0.31,false,false,F,8,9,2,12,2/22/22,84,B04559,521004,55-64,3,medium,true,Full-time employed,Location & Schools,false
H04405,Green Valley,531904,2375,5,5,25,1,0.27,true,false,C,8,9,2,12,2/23/22,41,B04405,602563,35-44,3,medium,true,Full-time employed,Space & Bedrooms,false
H06138,Green Valley,581016,2956,4,4,8,1,0.2,false,false,F,8,9,2,12,2/23/22,8,B06138,645267,55-64,5,high,false,Retired,Modern & Updated,false
H01012,Green Valley,159551,800,1,1,3,1,0.27,false,false,E,8,9,2,12,2/23/22,16,B01012,175496,25-34,1,low,false,Self-employed,Affordability,false
