house_id,neighborhood,price,square_feet,num_bedrooms,num_bathrooms,house_age,garage_spaces,lot_size_acres,has_pool,recently_renovated,energy_rating,location_score,school_rating,crime_rate,distance_downtown_miles,sale_date,days_on_market,buyer_id,buyer_budget,buyer_age_group,buyer_family_size,buyer_income_level,has_children,employment_type,buyer_preference,first_time_buyer
H00667,Hillcrest,672801,2580,4,4,5,1,0.15,false,false,E,9,9,2,5,1/1/22,29,B00667,756413,55-64,2,high,false,Retired,Low Maintenance,false
H00927,Hillcrest,741862,2803,4,4,7,1,0.16,false,false,D,9,9,2,5,1/6/22,19,B00927,857749,45-54,4,high,false,Full-time employed,Affordability,false
H04978,Hillcrest,500175,1640,3,3,10,1,0.23,false,false,E,9,9,2,5,1/6/22,6,B04978,535735,55-64,2,medium,false,Retired,Location & Schools,false
H06109,Hillcrest,1038403,4261,6,5,16,2,0.18,false,false,D,9,9,2,5,1/7/22,43,B06109,1179436,45-54,4,high,true,Self-employed,Location & Schools,true
H05401,Hillcrest,213427,945,1,1,7,0,0.19,false,false,E,9,9,2,5,1/7/22,20,B05401,234653,35-44,1,low,false,Self-employed,Investment,false
H06657,Hillcrest,961844,3688,6,5,2,2,0.18,true,false,E,9,9,2,5,1/9/22,38,B06657,1056830,25-34,2,high,false,Dual income,Space & Bedrooms,false
H05058,Hillcrest,768554,2938,5,5,2,2,0.12,true,false,E,9,9,2,5,1/13/22,27,B05058,812063,45-54,2,high,false,Dual income,Low Maintenance,false
H00467,Hillcrest,1044228,4323,6,5,1,2,0.15,false,false,F,9,9,2,5,1/14/22,69,B00467,1216548,25-34,2,high,false,Self-employed,Location & Schools,false
H05452,Hillcrest,566343,2372,5,5,34,1,0.1,false,false,B,9,9,2,5,1/15/22,16,B05452,665574,25-34,3,high,true,Full-time employed,Location & Schools,false
H06720,Hillcrest,894115,3673,5,5,6,2,0.17,false,false,F,9,9,2,5,1/16/22,14,B06720,943122,25-34,2,high,false,Self-employed,Space & Bedrooms,false
H03932,Hillcrest,376447,1513,3,3,15,1,0.12,false,false,F,9,9,2,5,1/18/22,34,B03932,435293,25-34,1,medium,false,Full-time employed,Investment,true
H02853,Hillcrest,736060,2339,4,4,7,1,0.13,true,false,E,9,9,2,5,1/18/22,11,B02853,838200,45-54,3,high,true,Dual income,Modern & Updated,false
H04078,Hillcrest,644250,2490,5,5,4,1,0.16,false,false,E,9,9,2,5,1/19/22,59,B04078,695291,25-34,1,high,false,Self-employed,Location & Schools,false
H00225,Hillcrest,627153,2293,4,4,11,1,0.23,true,false,E,9,9,2,5,1/20/22,1,B00225,681473,55-64,3,high,true,Full-time employed,Location & Schools,false
H04062,Hillcrest,370922,1372,4,4,4,0,0.13,true,false,F,9,9,2,5,1/20/22,62,B04062,403621,45-54,1,medium,false,Full-time employed,Modern & Updated,false
H01888,Hillcrest,820942,3605,6,5,2,2,0.19,false,false,D,9,9,2,5,1/22/22,22,B01888,863872,35-44,4,high,true,Self-employed,Space & Bedrooms,false
