house_id,neighborhood,price,square_feet,num_bedrooms,num_bathrooms,house_age,garage_spaces,lot_size_acres,has_pool,recently_renovated,energy_rating,location_score,school_rating,crime_rate,distance_downtown_miles,sale_date,days_on_market,buyer_id,buyer_budget,buyer_age_group,buyer_family_size,buyer_income_level,has_children,employment_type,buyer_preference,first_time_buyer
H03858,Suburban Park,686552,3445,6,5,1,3,0.21,false,false,F,8,9,3,10,1/2/22,30,B03858,742793,45-54,4,high,true,Full-time employed,Location & Schools,false
H07522,Suburban Park,740672,3032,5,5,0,2,0.2,false,true,F,8,9,3,10,1/3/22,25,B07522,791248,35-44,4,high,true,Full-time employed,Space & Bedrooms,false
H01540,Suburban Park,497083,1940,3,3,14,2,0.24,true,false,E,8,9,3,10,1/6/22,5,B01540,529095,35-44,2,medium,false,Dual income,Affordability,false
H07000,Suburban Park,510979,2408,4,3,6,1,0.34,false,false,D,8,9,3,10,1/7/22,66,B07000,564361,25-34,1,medium,false,Dual income,Affordability,false
H03427,Suburban Park,473012,1927,3,3,2,1,0.32,false,false,E,8,9,3,10,1/7/22,1,B03427,509464,25-34,1,medium,false,Full-time employed,Space & Bedrooms,false
H00994,Suburban Park,367161,1966,3,3,0,1,0.37,false,false,F,8,9,3,10,1/8/22,41,B00994,388866,25-34,1,medium,false,Full-time employed,Space & Bedrooms,false
H05830,Suburban Park,694032,2630,5,5,6,2,0.23,false,false,D,8,9,3,10,1/9/22,35,B05830,796983,35-44,3,high,true,Dual income,Affordability,false
H04207,Suburban Park,563868,2792,4,4,4,2,0.23,false,false,F,8,9,3,10,1/11/22,11,B04207,635787,35-44,2,high,false,Self-employed,Location & Schools,false
H07975,Suburban Park,625491,2896,4,4,4,1,0.33,false,false,D,8,9,3,10,1/13/22,54,B07975,713850,45-54,3,high,true,Self-employed,Location & Schools,false
H01788,Suburban Park,453453,1874,2,3,1,2,0.26,true,false,F,8,9,3,10,1/13/22,9,B01788,524720,55-64,1,medium,false,Dual income,Affordability,true
H06270,Suburban Park,603395,2588,4,4,4,1,0.57,true,false,F,8,9,3,10,1/13/22,17,B06270,694274,45-54,3,high,true,Dual income,Location & Schools,false
H03243,Suburban Park,784415,3623,5,5,9,3,0.21,false,false,E,8,9,3,10,1/14/22,15,B03243,849095,55-64,3,high,true,Dual income,Location & Schools,false
H01880,Suburban Park,600980,2616,5,5,6,1,0.23,true,false,F,8,9,3,10,1/14/22,3,B01880,669378,65+,2,high,false,Retired,Location & Schools,false
H03969,Suburban Park,529037,2013,3,3,6,1,0.19,true,false,F,8,9,3,10,1/16/22,17,B03969,595843,35-44,3,medium,true,Dual income,Space & Bedrooms,false
H06964,Suburban Park,716150,3367,6,5,1,2,0.41,true,false,F,8,9,3,10,1/16/22,85,B06964,841283,55-64,2,high,false,Self-employed,Investment,false
H04877,Suburban Park,485059,2018,4,4,14,1,0.17,true,false,D,8,9,3,10,1/19/22,51,B04877,539575,25-34,2,medium,false,Full-time employed,Affordability,true
H02178,Suburban Park,243872,1124,2,2,14,2,0.21,false,false,F,8,9,3,10,1/20/22,106,B02178,267716,25-34,1,low,false,Dual income,Affordability,false
H07664,Suburban Park,469313,2189,4,4,6,2,0.3,false,false,E,8,9,3,10,1/20/22,47,B07664,528982,65+,2,medium,false,Retired,Low Maintenance,false
H01946,Suburban Park,423031,1984,3,3,12,2,0.23,false,false,F,8,9,3,10,1/23/22,15,B01946,455018,45-54,3,medium,false,Self-employed,Affordability,false
H04876,Suburban Park,639243,3192,6,5,17,2,0.17,false,false,D,8,9,3,10,1/25/22,67,B04876,750549,45-54,5,high,true,Full-time employed,Location & Schools,true
H07115,Suburban Park,239266,800,1,1,0,1,0.38,false,false,F,8,9,3,10,1/26/22,64,B07115,274311,55-64,1,low,false,Full-time employed,Affordability,false
H04737,Suburban Park,560046,2495,4,4,5,2,0.24,false,false,F,8,9,3,10,1/26/22,37,B04737,589736,45-54,2,medium,false,Full-time employed,Affordability,false
H05127,Suburban Park,545989,2272,3,3,1,2,0.25,false,false,F,8,9,3,10,1/26/22,1,B05127,592878,45-54,2,medium,false,Full-time employed,Space & Bedrooms,false
H04524,Suburban Park,443197,2094,3,3,7,1,0.31,true,false,E,8,9,3,10,1/27/22,120,B04524,521854,55-64,2,medium,false,Retired,Space & Bedrooms,true
H02934,Suburban Park,350659,1156,2,2,12,1,0.41,true,false,D,8,9,3,10,1/28/22,16,B02934,386752,35-44,2,medium,false,Full-time employed,Low Maintenance,false
H06019,Suburban Park,671513,2911,4,4,2,2,0.4,false,false,D,8,9,3,10,2/3/22,14,B06019,734899,35-44,3,high,true,Full-time employed,Location & Schools,false
