house_id,neighborhood,price,square_feet,num_bedrooms,num_bathrooms,house_age,garage_spaces,lot_size_acres,has_pool,recently_renovated,energy_rating,location_score,school_rating,crime_rate,distance_downtown_miles,sale_date,days_on_market,buyer_id,buyer_budget,buyer_age_group,buyer_family_size,buyer_income_level,has_children,employment_type,buyer_preference,first_time_buyer
H06393,University District,238446,1511,2,2,23,1,0.11,false,false,C,7,6,5,2,1/1/22,26,B06393,260876,45-54,1,low,false,Full-time employed,Space & Bedrooms,false
H02493,University District,172545,1134,2,2,0,1,0.21,true,false,F,7,6,5,2,1/1/22,6,B02493,188262,25-34,1,low,false,Self-employed,Investment,false
H01166,University District,290761,1761,3,4,52,1,0.12,true,false,A,7,6,5,2,1/8/22,17,B01166,306420,45-54,1,medium,false,Full-time employed,Location & Schools,false
H04309,University District,351942,1892,3,3,34,1,0.17,true,false,C,7,6,5,2,1/11/22,49,B04309,392278,65+,1,medium,false,Self-employed,Affordability,false
H04191,University District,187853,1190,2,3,60,2,0.13,true,true,B,7,6,5,2,1/12/22,66,B04191,198317,35-44,1,low,false,Full-time employed,Affordability,false
H00293,University District,120000,800,1,2,12,1,0.15,false,false,F,7,6,5,2,1/13/22,24,B00293,130000,35-44,1,low,false,Self-employed,Location & Schools,false
H04269,University District,140795,800,1,1,3,2,0.14,false,false,D,7,6,5,2,1/14/22,33,B04269,153574,45-54,1,low,false,Full-time employed,Space & Bedrooms,false
H05731,University District,323841,1954,2,3,1,1,0.1,false,false,F,7,6,5,2,1/16/22,44,B05731,377367,45-54,1,medium,false,Self-employed,Modern & Updated,false
H04546,University District,474337,3080,5,5,11,2,0.21,false,false,F,7,6,5,2,1/19/22,58,B04546,549306,25-34,2,medium,false,Full-time employed,Location & Schools,false
H03179,University District,398882,2516,5,5,0,1,0.15,false,false,F,7,6,5,2,1/20/22,14,B03179,470607,65+,1,medium,false,Retired,Low Maintenance,false
H01251,University District,208933,843,1,1,19,1,0.1,true,false,E,7,6,5,2,1/28/22,24,B01251,232233,35-44,1,low,false,Full-time employed,Modern & Updated,false
H01470,University District,303255,1891,3,3,21,1,0.14,false,false,D,7,6,5,2,2/3/22,15,B01470,352122,45-54,1,medium,false,Full-time employed,Modern & Updated,false
H06132,University District,328689,2313,3,3,16,2,0.23,true,false,E,7,6,5,2,2/3/22,76,B06132,385084,35-44,2,medium,false,Full-time employed,Modern & Updated,false
H05663,University District,196996,1398,3,3,33,2,0.08,false,false,E,7,6,5,2,2/9/22,11,B05663,229977,25-34,2,low,false,Full-time employed,Affordability,false
H06826,University District,262622,1661,2,2,11,2,0.2,false,false,E,7,6,5,2,2/10/22,15,B06826,292464,25-34,1,medium,false,Self-employed,Affordability,false
H06125,University District,328709,1485,3,3,18,1,0.1,true,true,F,7,6,5,2,2/13/22,10,B06125,363347,45-54,2,medium,false,Full-time employed,Location & Schools,false
H03629,University District,277486,1493,2,2,14,1,0.14,true,true,F,7,6,5,2,2/15/22,8,B03629,293025,35-44,3,medium,false,Self-employed,Affordability,false
H04330,University District,398617,2137,3,3,6,2,0.41,true,false,C,7,6,5,2,2/21/22,25,B04330,451804,25-34,1,medium,false,Full-time employed,Space & Bedrooms,false
H01206,University District,133465,1438,2,3,32,1,0.16,false,false,B,7,6,5,2,2/24/22,29,B01206,152968,25-34,1,low,false,Full-time employed,Low Maintenance,false
H04750,University District,131027,800,1,1,12,0,0.13,true,false,F,7,6,5,2,2/25/22,21,B04750,146578,55-64,1,low,false,Retired,Affordability,false
H06721,University District,319223,1910,3,2,16,2,0.24,false,false,D,7,6,5,2,2/27/22,16,B06721,358150,25-34,2,medium,false,Full-time employed,Investment,false
H03691,University District,393982,2578,4,4,9,1,0.13,false,false,F,7,6,5,2,3/1/22,25,B03691,460302,45-54,1,medium,false,Dual income,Modern & Updated,false
H05723,University District,410249,2819,4,4,9,1,0.08,false,false,F,7,6,5,2,3/3/22,60,B05723,444857,35-44,1,medium,false,Full-time employed,Space & Bedrooms,false
H05754,University District,420962,2243,4,4,9,2,0.19,false,false,E,7,6,5,2,3/4/22,5,B05754,482369,35-44,3,medium,true,Dual income,Space & Bedrooms,false
H05041,University District,229598,1672,3,3,4,1,0.11,false,false,F,7,6,5,2,3/4/22,5,B05041,270811,25-34,1,low,false,Full-time employed,Location & Schools,true
H01743,University District,476167,2809,5,5,46,1,0.19,true,true,C,7,6,5,2,3/7/22,12,B01743,504940,35-44,4,medium,false,Dual income,Location & Schools,false
H03681,University District,430536,2470,4,4,36,2,0.15,true,true,E,7,6,5,2,3/9/22,60,B03681,490761,35-44,1,medium,false,Full-time employed,Affordability,false
H00063,University District,500366,3156,4,4,46,2,0.08,false,true,C,7,6,5,2,3/9/22,37,B00063,549952,45-54,1,medium,false,Full-time employed,Modern & Updated,false
H02532,University District,487259,2801,4,5,4,1,0.13,true,false,F,7,6,5,2,3/9/22,18,B02532,569007,25-34,1,medium,false,Full-time employed,Affordability,false
H00738,University District,263642,1432,2,2,36,1,0.13,true,false,B,7,6,5,2,3/10/22,12,B00738,276958,35-44,1,low,false,Dual income,Space & Bedrooms,false
H07853,University District,384974,2511,4,4,8,1,0.16,false,false,F,7,6,5,2,3/11/22,10,B07853,437567,35-44,2,medium,false,Full-time employed,Space & Bedrooms,false
H05274,University District,353879,2314,4,4,30,1,0.15,false,true,E,7,6,5,2,3/11/22,31,B05274,408024,35-44,4,medium,true,Full-time employed,Location & Schools,false
H03683,University District,166400,1106,3,3,51,2,0.11,false,true,B,7,6,5,2,3/12/22,3,B03683,180715,35-44,2,low,false,Self-employed,Space & Bedrooms,false
H02705,University District,350766,1892,3,3,3,2,0.11,false,true,F,7,6,5,2,3/14/22,44,B02705,405524,35-44,3,medium,false,Full-time employed,Investment,true
H05303,University District,326479,1621,3,3,24,1,0.23,true,true,F,7,6,5,2,3/15/22,8,B05303,359443,35-44,3,medium,true,Full-time employed,Location & Schools,true
H04999,University District,371017,2227,5,5,1,1,0.1,false,false,E,7,6,5,2,3/16/22,51,B04999,407152,45-54,3,medium,true,Self-employed,Location & Schools,false
